"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Task Repositories","Mark Task Read","⌥⇧R","In Tasks Editor"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Run/Debug","Run Maven Build","⌥⇧X M","In Windows"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Window","Update Project","⌥F5","In Windows"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Edit","Select Enclosing Element","⌥⇧↑","Editing in Structured Text Editors"
"Source","Organize Imports","⇧⌘O","In Windows"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Edit","Restore Last Selection","⌃⇧⇟","Editing Java Source"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Edit","Previous Sibling","⌃⇧↑","Editing in Structured Text Editors"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⌥⇧↓","In Tasks View"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Window","Previous View","⇧⌘F7","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Run/Debug","Debug","⌘F11","In Windows"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Run/Debug","Run to Line","⌘R","Debugging"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Run/Debug","Terminate","⌘F2","Debugging"
"Edit","Next Sibling","⌃⇧↓","Editing in Structured Text Editors"
"Navigate","Open Type","⇧⌘T","In Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"File","Refresh","F5","In Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"File","Close","⌘W","In Windows"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Edit","Context Information","⌃⇧Space","In Dialogs and Windows"
"Edit","Select Enclosing Element","⌃⇧⇞","Editing Java Source"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Run/Debug","Skip All Breakpoints","⌥⌘B","In Windows"
"Text Editing","Cut Line","⌘K","Editing Text"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks Editor"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Task Repositories","New Subtask","⌥⇧N","In Tasks View"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Search","Declaration in Workspace","⌘G","In Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"File","Print","⌘P","In Windows"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Text Editing","Text Start","↖","Editing Text"
"Text Editing","Zoom In","⌘+","Editing Text"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"View","Zoom In","⌘=","In Windows"
"Edit","Find Previous","⇧⌘,","Editing Text"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Window","Close Dialog","⌘W","In Dialogs"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks Editor"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks View"
"Text Editing","Zoom In","⌘=","Editing Text"
"Focused UI","Focus on Active Task","⌥⇧H","In Windows"
"Source","Annotate Class File","⌘1","Browsing attached Java Source"
"File","Close All","⇧⌘W","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Project","Build All","⌘B","In Windows"
"Window","Next View","⌘F7","In Windows"
"Edit","Select Previous Element","⌃⇧←","Editing in Structured Text Editors"
"Source","Snipmatch Snippet Completion","⌃⌥Space","Editing Text"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Git","Commit...","⌥⌘3","In Windows"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks View"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Navigate","Open Declaration","F3","In Windows"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⌥⇧↑","In Tasks View"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Focused UI","Show Context Quick View","⌥⇧⌘→","In Windows"
"Edit","Delete","⌦","In Windows"
"Window","Quick Switch Editor","⌘E","In Windows"
"File","Rename","F2","In Windows"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Edit","Shift Right","⌘]","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Navigate","Go to Line","⌘L","Editing Text"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Edit","Incremental Find","⌘J","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Navigate","Next Page","⌥F7","In Windows"
"Navigate","Open from Clipboard","⇧⌘V","In Windows"
"Views","Show View","⌥⌘Q Q","In Windows"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Edit","Add Maven Plugin","⌃⇧P","Editing XML Source"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Task Editor","Submit Task","⌥⇧S","In Tasks Editor"
"File","New menu","⌥⌘N","In Windows"
"Focused UI","Make Landmark","⌥⇧⌘↑","In Windows"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Navigate","Previous Page","⌥⇧F7","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Edit","Restore Last Selection","⌥⇧↓","Editing in Structured Text Editors"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Edit","Find Next","⇧⌘.","Editing Text"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Source","Format","⇧⌘F","Editing Java Source"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Run/Debug","EOF","⌃D","In I/O Console"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Window","Next Perspective","⌘F8","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"File","Save All","⇧⌘S","In Windows"
"Edit","Select Next Element","⌃⇧→","Editing in Structured Text Editors"
"Run/Debug","Step Into","F5","Debugging"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Search","Open Search Dialog","⌃H","In Windows"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Search","References in Workspace","⇧⌘G","In Windows"
"Edit","Find and Replace","⌘F","In Windows"
